No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
178,16.64,16.67,210,200.1,195.3,190.3,40.2,1.35,6.54,1293.34,78.17,45.12,2,8.14,11.05,1150.55,4.8,11.04,63.12,28.27,6.54,8,49.03,0.32,178
179,16.66,16.67,209.9,200.1,195.3,190.3,40.1,1.36,6.53,1286.36,78.19,46.65,2,8.14,11.03,1155.66,4.82,11.01,63.11,28.27,6.53,8,49.03,0.32,179
180,16.66,16.68,210,200.1,195.3,190.3,40.1,1.36,6.59,1287.48,78.12,46.91,2,8.12,11.1,1162.64,4.8,11.08,63.11,28.27,6.59,8,49.03,0.33,180
181,16.66,16.66,210,200.1,195.3,190.3,40.2,1.35,6.42,1279.25,78.29,46.71,2,8.1,10.92,1160.77,4.83,10.91,63.11,28.27,6.42,8,49.03,0.32,181
182,16.66,16.68,209.9,200,195.3,190.2,40.2,1.36,6.53,1253.06,78.2,48.54,2,8.1,11,1181.35,4.8,10.98,63.11,28.27,6.53,8,49.03,0.33,182
183,16.66,16.66,210,199.9,195.1,190,40.1,1.36,6.59,1250.07,78.14,48.55,2,8.1,11.07,1192.82,4.79,11.04,63.11,28.27,6.59,8,49.03,0.32,183
184,16.64,16.68,210,200,195.1,190,40.1,1.35,6.57,1264.03,78.12,48.03,2,8.12,11.07,1192.57,4.81,11.07,63.11,28.27,6.57,8,49.03,0.33,184
185,16.64,16.66,210,199.9,195,190,40.1,1.34,6.55,1252.81,78.12,46.72,2,8.12,11.06,1205.54,4.8,11.06,63.11,28.27,6.55,8,49.03,0.32,185
186,16.64,16.64,210,200,194.9,190,40.1,1.33,6.63,1249.32,78.06,45.5,2,8.13,11.14,1213.77,4.79,11.13,63.11,28.27,6.63,8,49.03,0.32,186
187,16.64,16.66,210,200,195,189.9,40,1.34,6.56,1250.07,78.23,46.61,2,8.12,11.03,1207.41,4.82,11.02,63.11,28.27,6.56,8,49.03,0.33,187
188,16.66,16.64,210,200.1,194.9,189.9,40,1.35,6.5,1252.56,78.23,46.98,2,8.13,11,1200.31,4.82,10.99,63.11,28.27,6.5,8,49.03,0.32,188
189,16.68,16.66,210,200,194.9,189.7,40,1.37,6.48,1279.5,78.19,48.54,2,8.11,10.98,1161.52,4.78,10.97,63.11,28.27,6.48,8,49.03,0.33,189
190,16.68,16.68,210.1,200,194.8,189.6,40,1.37,6.46,1299.45,78.26,45.97,2,8.1,10.95,1136.33,4.79,10.95,63.12,28.27,6.46,8,49.03,0.33,190
191,16.68,16.68,210,199.9,194.8,189.7,40,1.37,6.52,1282.24,78.17,49.21,2,8.13,11.01,1164.51,4.77,11,63.12,28.27,6.52,8,49.03,0.32,191
192,16.66,16.7,210,199.9,194.8,189.6,40,1.36,6.48,1274.63,78.24,48.62,2,8.12,10.97,1164.01,4.8,10.95,63.11,28.27,6.48,8,49.03,0.32,192
193,16.66,16.66,209.9,200,194.8,189.6,40.3,1.37,6.6,1259.67,78.1,48.02,2,8.12,11.06,1188.83,4.78,11.05,63.11,28.27,6.6,8,49.03,0.32,193
194,16.66,16.69,209.9,199.9,194.8,189.6,40.3,1.36,6.65,1248.07,78.04,46.91,2,8.14,11.14,1209.78,4.8,11.14,63.11,28.27,6.65,8,49.03,0.32,194
195,16.64,16.68,209.9,199.9,194.8,189.6,40.3,1.36,6.54,1254.18,78.21,47.55,2,8.1,11,1191.58,4.84,10.99,63.12,28.27,6.54,8,49.03,0.32,195
196,16.66,16.66,210,199.9,194.8,189.6,40.2,1.36,6.55,1280.74,78.17,48.66,2,8.11,11.06,1175.36,4.82,11.04,63.11,28.27,6.55,8,49.03,0.32,196
